"","sample.type","sample.day","sample.mo","sample.yr","sample.date","organic.matter.fraction","trap.no","stream","days.deployed","total.field.wt","field.sub.wet.wt.g","field.sub.prop","pan.wt.g","om.total.dry.wt.g","om.sub.dry.pan.wt.g","om.sub.ash.pan.wt.g","sub.prop.total","sub.prop.afdm","total.afdm.g","areal.AFDM.input.g.m","areal.AFDM.input.g.m.d"
"28","LINP",1,11,2017,2017-11-01,"LEAF",5,"TOWR",19,NA,NA,NA,1.7401,6.41,5.2332,1.9421,0.544945397815913,0.942171709942458,6.03932066073116,12.0786413214623,0.63571796428749
"30","LINP",1,11,2017,2017-11-01,"MISC",5,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"32","LINP",1,11,2017,2017-11-01,"WOOD",5,"TOWR",19,NA,NA,NA,1.7545,1.4086,3.1635,1.783,1.00028396989919,0.979772888573456,1.38010809084457,2.76021618168914,0.145274535878376
"34","LINP",1,11,2017,2017-11-01,"LEAF",6,"TOWR",19,NA,NA,NA,2.004,3.74,5.0906,2.1628,0.825294117647059,0.948551804574613,3.54758374910905,7.0951674982181,0.373429868327269
"36","LINP",1,11,2017,2017-11-01,"MISC",6,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"38","LINP",1,11,2017,2017-11-01,"WOOD",6,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"40","LINP",1,11,2017,2017-11-01,"LEAF",7,"TOWR",19,NA,NA,NA,4.71,14.2,18.94,14.41,1.00211267605634,0.318341531974701,4.52044975404076,9.04089950808152,0.475836816214817
"43","LINP",1,11,2017,2017-11-01,"MISC",7,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"45","LINP",1,11,2017,2017-11-01,"WOOD",7,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"47","LINP",1,11,2017,2017-11-01,"LEAF",8,"TOWR",19,NA,NA,NA,2.0748,10.44,6.2443,2.3022,0.399377394636015,0.945461086461207,9.870613742655,19.74122748531,1.03901197291105
"49","LINP",1,11,2017,2017-11-01,"MISC",8,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"51","LINP",1,11,2017,2017-11-01,"WOOD",8,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"53","LINP",1,11,2017,2017-11-01,"LEAF",9,"TOWR",19,NA,NA,NA,2.0751,30.14,5.7909,2.2473,0.123284671532847,0.953657355078314,28.7432326820604,57.4864653641208,3.02560344021688
"55","LINP",1,11,2017,2017-11-01,"MISC",9,"TOWR",19,NA,NA,NA,1.7929,0.7349,2.5282,1.8133,1.00054429174037,0.972256221950224,0.71451109751122,1.42902219502244,0.0752116944748653
"57","LINP",1,11,2017,2017-11-01,"WOOD",9,"TOWR",19,NA,NA,NA,1.7463,2.2366,3.9833,1.885,1.00017884288652,0.937997317836388,2.09792480107287,4.19584960214573,0.220834189586617
"59","LINP",1,11,2017,2017-11-01,"LEAF",10,"TOWR",19,NA,NA,NA,1.9998,31.22,6.0387,2.1875,0.129368994234465,0.953526950407289,29.7691113917156,59.5382227834311,3.13359067281216
"62","LINP",1,11,2017,2017-11-01,"MISC",10,"TOWR",19,NA,NA,NA,2.1081,1.6162,3.7247,2.1718,1.00024749412201,0.960596313250031,1.5525157614747,3.1050315229494,0.163422711734179
"64","LINP",1,11,2017,2017-11-01,"WOOD",10,"TOWR",19,NA,NA,NA,1.9788,2.0882,4.0673,2.0828,1.00014366439996,0.950203495331577,1.9842149389514,3.9684298779028,0.208864730415937
"65","LINP",1,11,2017,2017-11-01,"LEAF",11,"TOWR",19,NA,NA,NA,2.068,8.02,5.3914,2.2741,0.414389027431421,0.937985195883734,7.52264127098754,15.0452825419751,0.791856975893426
"66","LINP",1,11,2017,2017-11-01,"MISC",11,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"67","LINP",1,11,2017,2017-11-01,"WOOD",11,"TOWR",19,NA,NA,NA,1.7512,0.8396,2.5899,1.7957,0.99892806098142,0.946941695481102,0.795052247525933,1.59010449505187,0.0836897102658877
"68","LINP",1,11,2017,2017-11-01,"LEAF",12,"TOWR",19,NA,NA,NA,2.0266,11.82,6.4376,2.3,0.373181049069374,0.938018589888914,11.087379732487,22.1747594649739,1.16709260341968
"69","LINP",1,11,2017,2017-11-01,"MISC",12,"TOWR",19,NA,NA,NA,1.762,0.2787,2.0408,1.7701,1.00035880875493,0.970946915351506,0.270602905308465,0.54120581061693,0.0284845163482595
"70","LINP",1,11,2017,2017-11-01,"WOOD",12,"TOWR",19,NA,NA,NA,2.1279,2.4918,4.6195,2.2377,0.999919736736496,0.955931931289132,2.38199118638626,4.76398237277252,0.250735914356448
"72","LINP",1,11,2017,2017-11-01,"LEAF",1,"WS55",19,NA,NA,NA,2.0844,7.6,6.6144,2.3168,0.596052631578947,0.948697571743929,7.21010154525386,14.4202030905077,0.758958057395143
"74","LINP",1,11,2017,2017-11-01,"MISC",1,"WS55",19,NA,NA,NA,2.0811,0.5608,2.6421,2.1012,1.00035663338088,0.964171122994653,0.540707165775401,1.0814143315508,0.0569165437658317
"76","LINP",1,11,2017,2017-11-01,"WOOD",1,"WS55",19,NA,NA,NA,1.7542,6.3764,8.1312,1.9429,1.00009409698262,0.970409283362083,6.18771775442998,12.37543550886,0.65133871099263
"78","LINP",1,11,2017,2017-11-01,"LEAF",2,"WS55",19,NA,NA,NA,1.7543,4.29,5.963,1.908,0.981048951048951,0.963480409627676,4.13333095730273,8.26666191460546,0.435087469189761
"80","LINP",1,11,2017,2017-11-01,"MISC",2,"WS55",19,NA,NA,NA,1.7747,0.2397,2.0146,1.7809,1.00083437630371,0.974155898290955,0.233505168820342,0.467010337640684,0.0245794914547728
"82","LINP",1,11,2017,2017-11-01,"WOOD",2,"WS55",19,NA,NA,NA,2.0248,0.0758,2.1008,2.0304,1.00263852242744,0.926315789473681,0.070214736842105,0.14042947368421,0.00739102493074789
"84","LINP",1,11,2017,2017-11-01,"LEAF",3,"WS55",19,NA,NA,NA,1.7588,12.13,5.8181,1.9314,0.334649629018961,0.957480353755574,11.6142366910551,23.2284733821102,1.22255123063738
"86","LINP",1,11,2017,2017-11-01,"MISC",3,"WS55",19,NA,NA,NA,2.0849,0.3481,2.4337,2.0918,1.00201091640333,0.980217889908257,0.341213847477064,0.682427694954129,0.0359172471028489
"88","LINP",1,11,2017,2017-11-01,"WOOD",3,"WS55",19,NA,NA,NA,2.0583,3.826,5.8847,2.178,1.00010454783063,0.968717332218273,3.70631251306711,7.41262502613423,0.390138159270222
"90","LINP",1,11,2017,2017-11-01,"LEAF",4,"WS55",19,NA,NA,NA,2.0181,9.66,6.246,2.2133,0.437670807453416,0.953830506871023,9.21400269637409,18.4280053927482,0.969895020670956
"92","LINP",1,11,2017,2017-11-01,"MISC",4,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"94","LINP",1,11,2017,2017-11-01,"WOOD",4,"WS55",19,NA,NA,NA,2.0591,0.4772,2.5364,2.0781,1.00020955574183,0.960192750890425,0.458203980724911,0.916407961449822,0.0482319979710432
"96","LINP",1,11,2017,2017-11-01,"LEAF",5,"WS55",19,NA,NA,NA,1.7722,7.82,5.5996,1.9522,0.489437340153453,0.952970685060354,7.45223075717197,14.9044615143439,0.784445342860207
"98","LINP",1,11,2017,2017-11-01,"MISC",5,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"100","LINP",1,11,2017,2017-11-01,"WOOD",5,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"102","LINP",1,11,2017,2017-11-01,"LEAF",6,"WS55",19,NA,NA,NA,2.0165,1.77,3.4799,2.0804,0.826779661016949,0.956334563345634,1.69271217712177,3.38542435424354,0.178180229170713
"104","LINP",1,11,2017,2017-11-01,"MISC",6,"WS55",19,NA,NA,NA,2.0378,0.0299,2.0679,2.0393,1.0066889632107,0.950166112956809,0.0284099667774086,0.0568199335548172,0.00299052281867459
"106","LINP",1,11,2017,2017-11-01,"WOOD",6,"WS55",19,NA,NA,NA,1.7328,0.1174,1.8502,1.7388,1,0.948892674616695,0.1114,0.2228,0.0117263157894737
"108","LINP",1,11,2017,2017-11-01,"LEAF",7,"WS55",19,NA,NA,NA,1.7646,4.99,5.4978,1.9238,0.74813627254509,0.957355619843566,4.77720454301939,9.55440908603879,0.502863636107305
"110","LINP",1,11,2017,2017-11-01,"MISC",7,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"112","LINP",1,11,2017,2017-11-01,"WOOD",7,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"114","LINP",1,11,2017,2017-11-01,"LEAF",8,"WS55",19,NA,NA,NA,2.1183,4.37,5.9603,2.2911,0.879176201372998,0.955023425299323,4.17345236855804,8.34690473711609,0.439310775637689
"116","LINP",1,11,2017,2017-11-01,"MISC",8,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"118","LINP",1,11,2017,2017-11-01,"WOOD",8,"WS55",19,NA,NA,NA,1.7412,0.3735,2.1142,1.7509,0.998661311914323,0.973994638069706,0.363786997319035,0.72757399463807,0.0382933681388458
"120","LINP",1,11,2017,2017-11-01,"LEAF",9,"WS55",19,NA,NA,NA,2.0214,9.88,6.6439,2.2345,0.467864372469636,0.953899405083829,9.42452612222823,18.8490522444565,0.992055381287182
"122","LINP",1,11,2017,2017-11-01,"MISC",9,"WS55",19,NA,NA,NA,2.0579,0.088,2.1454,2.0604,0.994318181818181,0.971428571428572,0.0854857142857143,0.170971428571429,0.00899849624060151
"124","LINP",1,11,2017,2017-11-01,"WOOD",9,"WS55",19,NA,NA,NA,2.0333,0.3113,2.345,2.0444,1.00128493414713,0.964388835418672,0.300214244465833,0.600428488931665,0.0316014994174561
"126","LINP",1,11,2017,2017-11-01,"LEAF",10,"WS55",19,NA,NA,NA,2.015,6.9,4.6148,2.1526,0.376782608695652,0.947072851757828,6.53480267712901,13.069605354258,0.68787396601358
"128","LINP",1,11,2017,2017-11-01,"MISC",10,"WS55",19,NA,NA,NA,2.0096,0.0485,2.0581,2.0099,1,0.993814432989687,0.0481999999999998,0.0963999999999996,0.0050736842105263
"130","LINP",1,11,2017,2017-11-01,"WOOD",10,"WS55",19,NA,NA,NA,1.7826,3.476,5.2591,1.8941,1.00014384349827,0.96792751330361,3.36451603624335,6.7290320724867,0.354159582762458
"131","LINP",1,11,2017,2017-11-01,"LEAF",11,"WS55",19,NA,NA,NA,1.9633,5.22,5.6411,2.1401,0.70455938697318,0.951927782913699,4.96906302680951,9.93812605361901,0.523059265979948
"132","LINP",1,11,2017,2017-11-01,"MISC",11,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"133","LINP",1,11,2017,2017-11-01,"WOOD",11,"WS55",19,NA,NA,NA,2.0644,0.278,2.3431,2.0721,1.00251798561151,0.972371725870112,0.270319339791891,0.540638679583782,0.0284546673465149
"134","LINP",1,11,2017,2017-11-01,"LEAF",12,"WS55",19,NA,NA,NA,2.1118,15.74,6.2526,2.2937,0.263074968233799,0.95607129057187,15.0485621136012,30.0971242272025,1.58405916985276
"135","LINP",1,11,2017,2017-11-01,"MISC",12,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"136","LINP",1,11,2017,2017-11-01,"WOOD",12,"WS55",19,NA,NA,NA,2.1739,1.6592,3.8328,2.2182,0.99981918997107,0.973295557297004,1.61489198866719,3.22978397733438,0.16998863038602
"138","LINP",13,11,2017,2017-11-13,"LEAF",1,"TOWR",12,NA,NA,NA,3.6193,7.33,8.5796,3.9287,0.676712141882674,0.937624740439086,6.8727893474185,13.745578694837,1.14546489123642
"140","LINP",13,11,2017,2017-11-13,"MISC",1,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"142","LINP",13,11,2017,2017-11-13,"WOOD",1,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"144","LINP",13,11,2017,2017-11-13,"LEAF",2,"TOWR",12,NA,NA,NA,2.0855,6.38,5.1934,2.2548,0.487131661442006,0.945525917822324,6.03245535570643,12.0649107114129,1.00540922595107
"146","LINP",13,11,2017,2017-11-13,"MISC",2,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"148","LINP",13,11,2017,2017-11-13,"WOOD",2,"TOWR",12,NA,NA,NA,1.7492,1.4257,3.1749,1.8557,1,0.925299852703935,1.3192,2.6384,0.219866666666667
"150","LINP",13,11,2017,2017-11-13,"LEAF",3,"TOWR",12,NA,NA,NA,2.0381,2.1,3.8076,2.1313,0.842619047619047,0.947329754167844,1.98939248375247,3.97878496750495,0.331565413958745
"152","LINP",13,11,2017,2017-11-13,"MISC",3,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"154","LINP",13,11,2017,2017-11-13,"WOOD",3,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"156","LINP",13,11,2017,2017-11-13,"LEAF",4,"TOWR",12,NA,NA,NA,2.1738,6.71,4.9022,2.3007,0.406616989567809,0.953489224453892,6.39791269608562,12.7958253921712,1.06631878268094
"158","LINP",13,11,2017,2017-11-13,"MISC",4,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"160","LINP",13,11,2017,2017-11-13,"WOOD",4,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"162","LINP",13,11,2017,2017-11-13,"LEAF",5,"TOWR",12,NA,NA,NA,1.7728,5.83,5.0099,1.9052,0.5552487135506,0.959099193722777,5.59154829940379,11.1830965988076,0.931924716567298
"164","LINP",13,11,2017,2017-11-13,"MISC",5,"TOWR",12,NA,NA,NA,2.0215,0.8473,2.8688,2.0279,1,0.992446595066683,0.8409,1.6818,0.14015
"166","LINP",13,11,2017,2017-11-13,"WOOD",5,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"168","LINP",13,11,2017,2017-11-13,"LEAF",6,"TOWR",12,NA,NA,NA,1.7552,3.44,4.3274,1.8644,0.747732558139535,0.95754606951248,3.29395847912293,6.58791695824586,0.548993079853822
"170","LINP",13,11,2017,2017-11-13,"MISC",6,"TOWR",12,NA,NA,NA,1.7912,0.0787,1.8699,1.7926,1,0.982210927573061,0.0772999999999999,0.1546,0.0128833333333333
"172","LINP",13,11,2017,2017-11-13,"WOOD",6,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"174","LINP",13,11,2017,2017-11-13,"LEAF",7,"TOWR",12,NA,NA,NA,2.0136,3.75,4.5215,2.1224,0.668773333333333,0.956617089995614,3.58731408748355,7.1746281749671,0.597885681247259
"176","LINP",13,11,2017,2017-11-13,"MISC",7,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"178","LINP",13,11,2017,2017-11-13,"WOOD",7,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"180","LINP",13,11,2017,2017-11-13,"LEAF",8,"TOWR",12,NA,NA,NA,3.6286,6.98,8.4586,3.8487,0.691977077363897,0.954430641821946,6.66192587991719,13.3238517598344,1.1103209799862
"182","LINP",13,11,2017,2017-11-13,"MISC",8,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"184","LINP",13,11,2017,2017-11-13,"WOOD",8,"TOWR",12,NA,NA,NA,3.6273,3.244,6.8713,3.7238,1,0.970252774352651,3.1475,6.295,0.524583333333333
"186","LINP",13,11,2017,2017-11-13,"LEAF",9,"TOWR",12,NA,NA,NA,2.0653,12.84,4.5309,2.1708,0.19202492211838,0.957211226476314,12.2905921479559,24.5811842959117,2.04843202465931
"188","LINP",13,11,2017,2017-11-13,"MISC",9,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"190","LINP",13,11,2017,2017-11-13,"WOOD",9,"TOWR",12,NA,NA,NA,2.0584,3.3401,5.3985,2.2562,1,0.940780216161193,3.1423,6.2846,0.523716666666667
"192","LINP",13,11,2017,2017-11-13,"LEAF",10,"TOWR",12,NA,NA,NA,3.6319,19.6,9.8845,3.9108,0.319010204081633,0.95539455586476,18.7257332949493,37.4514665898986,3.12095554915822
"194","LINP",13,11,2017,2017-11-13,"MISC",10,"TOWR",12,NA,NA,NA,3.6195,4.3957,8.0152,3.7376,1,0.973132834360853,4.2776,8.5552,0.712933333333333
"196","LINP",13,11,2017,2017-11-13,"WOOD",10,"TOWR",12,NA,NA,NA,3.6602,7.7267,11.3869,3.9994,1,0.956100275667491,7.3875,14.775,1.23125
"197","LINP",13,11,2017,2017-11-13,"LEAF",11,"TOWR",12,NA,NA,NA,3.6567,6.56,7.4323,3.8499,0.575548780487805,0.948829325140375,6.22432037292086,12.4486407458417,1.03738672882014
"198","LINP",13,11,2017,2017-11-13,"MISC",11,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"199","LINP",13,11,2017,2017-11-13,"WOOD",11,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"200","LINP",13,11,2017,2017-11-13,"LEAF",12,"TOWR",12,NA,NA,NA,1.7479,5.76,4.8894,1.9344,0.545399305555556,0.940633455355722,5.41804870284896,10.8360974056979,0.903008117141493
"201","LINP",13,11,2017,2017-11-13,"MISC",12,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"202","LINP",13,11,2017,2017-11-13,"WOOD",12,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"204","LINP",13,11,2017,2017-11-13,"LEAF",1,"WS55",12,NA,NA,NA,3.633,17.39,10.6947,3.9645,0.40607820586544,0.95305662942351,16.5736547856748,33.1473095713497,2.76227579761247
"206","LINP",13,11,2017,2017-11-13,"MISC",1,"WS55",12,NA,NA,NA,3.6684,0.1866,3.855,3.6731,0.999999999999999,0.974812433011792,0.1819,0.363800000000001,0.0303166666666667
"208","LINP",13,11,2017,2017-11-13,"WOOD",1,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"210","LINP",13,11,2017,2017-11-13,"LEAF",2,"WS55",12,NA,NA,NA,3.6314,20.91,11.9352,4.0492,0.397120994739359,0.949685686071437,19.8579276957538,39.7158553915075,3.30965461595896
"212","LINP",13,11,2017,2017-11-13,"MISC",2,"WS55",12,NA,NA,NA,3.6248,0.0436,3.6684,3.6257,1,0.979357798165135,0.0426999999999999,0.0853999999999998,0.00711666666666665
"214","LINP",13,11,2017,2017-11-13,"WOOD",2,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"216","LINP",13,11,2017,2017-11-13,"LEAF",3,"WS55",12,NA,NA,NA,3.6348,18.87,10.3003,3.9285,0.353232644409115,0.95593728902558,18.0385366439127,36.0770732878254,3.00642277398545
"218","LINP",13,11,2017,2017-11-13,"MISC",3,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"220","LINP",13,11,2017,2017-11-13,"WOOD",3,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"222","LINP",13,11,2017,2017-11-13,"LEAF",4,"WS55",12,NA,NA,NA,2.1125,45.36,5.6498,2.2688,0.0779828042328042,0.95581375625477,43.3557119837164,86.7114239674328,7.22595199728606
"224","LINP",13,11,2017,2017-11-13,"MISC",4,"WS55",12,NA,NA,NA,2.0461,0.0259,2.072,2.0466,1,0.980694980694974,0.0253999999999998,0.0507999999999997,0.00423333333333331
"226","LINP",13,11,2017,2017-11-13,"WOOD",4,"WS55",12,NA,NA,NA,1.7286,0.1792,1.9078,1.7366,1,0.955357142857143,0.1712,0.3424,0.0285333333333333
"228","LINP",13,11,2017,2017-11-13,"LEAF",5,"WS55",12,NA,NA,NA,2.026,13.09,5.2866,2.1732,0.249090909090909,0.9548549346746,12.4990510948905,24.998102189781,2.08317518248175
"230","LINP",13,11,2017,2017-11-13,"MISC",5,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"232","LINP",13,11,2017,2017-11-13,"WOOD",5,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"234","LINP",13,11,2017,2017-11-13,"LEAF",6,"WS55",12,NA,NA,NA,3.6488,6.49,8.2164,3.872,0.703790446841294,0.951134074787635,6.17286014537175,12.3457202907435,1.02881002422862
"236","LINP",13,11,2017,2017-11-13,"MISC",6,"WS55",12,NA,NA,NA,3.6177,0.0298,3.6475,3.6185,0.999999999999994,0.97315436241611,0.0290000000000001,0.0580000000000002,0.00483333333333335
"238","LINP",13,11,2017,2017-11-13,"WOOD",6,"WS55",12,NA,NA,NA,3.6426,0.4952,4.1378,3.6621,1,0.96062197092084,0.4757,0.951399999999999,0.0792833333333333
"240","LINP",13,11,2017,2017-11-13,"LEAF",7,"WS55",12,NA,NA,NA,3.6746,11.61,9.1459,3.9434,0.471257536606374,0.950870908193665,11.0396112441284,22.0792224882569,1.83993520735474
"242","LINP",13,11,2017,2017-11-13,"MISC",7,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"244","LINP",13,11,2017,2017-11-13,"WOOD",7,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"246","LINP",13,11,2017,2017-11-13,"LEAF",8,"WS55",12,NA,NA,NA,3.6437,19.47,11.166,4.0033,0.386353364149974,0.952195472129535,18.539245842362,37.0784916847241,3.08987430706034
"248","LINP",13,11,2017,2017-11-13,"MISC",8,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"250","LINP",13,11,2017,2017-11-13,"WOOD",8,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"252","LINP",13,11,2017,2017-11-13,"LEAF",9,"WS55",12,NA,NA,NA,3.6273,34.22,13.1247,4.0556,0.277539450613676,0.95490344725925,32.6767959652115,65.3535919304231,5.44613266086859
"254","LINP",13,11,2017,2017-11-13,"MISC",9,"WS55",12,NA,NA,NA,3.6389,2.8594,6.4983,3.7258,1,0.969609008882982,2.7725,5.545,0.462083333333333
"256","LINP",13,11,2017,2017-11-13,"WOOD",9,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"258","LINP",13,11,2017,2017-11-13,"LEAF",10,"WS55",12,NA,NA,NA,3.597,24.91,10.0544,3.9023,0.259229225210759,0.952720909344318,23.732277851767,47.4645557035339,3.95537964196116
"260","LINP",13,11,2017,2017-11-13,"MISC",10,"WS55",12,NA,NA,NA,3.6075,0.4834,4.0909,3.6194,1,0.975382705833678,0.4715,0.943,0.0785833333333333
"262","LINP",13,11,2017,2017-11-13,"WOOD",10,"WS55",12,NA,NA,NA,3.6245,1.3873,5.0118,3.6684,1,0.968355799034095,1.3434,2.6868,0.2239
"263","LINP",13,11,2017,2017-11-13,"LEAF",11,"WS55",12,NA,NA,NA,3.6324,22.84,10.4041,3.9571,0.296484238178634,0.952050445235318,21.7448321691747,43.4896643383493,3.62413869486244
"264","LINP",13,11,2017,2017-11-13,"MISC",11,"WS55",12,NA,NA,NA,3.6155,0.1566,3.7721,3.6184,1,0.981481481481482,0.1537,0.3074,0.0256166666666667
"265","LINP",13,11,2017,2017-11-13,"WOOD",11,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"266","LINP",13,11,2017,2017-11-13,"LEAF",12,"WS55",12,NA,NA,NA,3.6378,29.07,9.4596,3.8936,0.200268317853457,0.956061699130853,27.7927135937339,55.5854271874678,4.63211893228898
"267","LINP",13,11,2017,2017-11-13,"MISC",12,"WS55",12,NA,NA,NA,3.6132,0.2794,3.8926,3.6201,1,0.97530422333572,0.2725,0.545,0.0454166666666667
"268","LINP",13,11,2017,2017-11-13,"WOOD",12,"WS55",12,NA,NA,NA,3.6133,3.8732,7.4865,3.7118,1,0.974568831973562,3.7747,7.5494,0.629116666666667
"270","LINP",7,12,2017,2017-12-07,"LEAF",1,"TOWR",24,NA,NA,NA,3.6577,3.11,6.6962,3.7985,0.977009646302251,0.953661346058911,2.96588678624321,5.93177357248642,0.247157232186934
"272","LINP",7,12,2017,2017-12-07,"MISC",1,"TOWR",24,NA,NA,NA,2.1079,0.0802,2.1881,2.1102,1,0.971321695760599,0.0779,0.1558,0.00649166666666667
"274","LINP",7,12,2017,2017-12-07,"WOOD",1,"TOWR",24,NA,NA,NA,2.027,0.0961,2.1231,2.0348,0.999999999999998,0.918834547346514,0.0883,0.1766,0.00735833333333333
"276","LINP",7,12,2017,2017-12-07,"LEAF",2,"TOWR",24,NA,NA,NA,3.6128,3.19,6.5336,3.7661,0.915611285266458,0.947514379622021,3.02257087099425,6.0451417419885,0.251880905916187
"278","LINP",7,12,2017,2017-12-07,"MISC",2,"TOWR",24,NA,NA,NA,1.7596,0.0719,1.8315,1.7613,0.999999999999998,0.976356050069541,0.0702,0.1404,0.00585
"280","LINP",7,12,2017,2017-12-07,"WOOD",2,"TOWR",24,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"282","LINP",7,12,2017,2017-12-07,"LEAF",3,"TOWR",24,NA,NA,NA,3.6094,4.78,7.7839,3.8215,0.873326359832636,0.949191519942508,4.53713546532519,9.07427093065038,0.378094622110432
"284","LINP",7,12,2017,2017-12-07,"MISC",3,"TOWR",24,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
