"","sample.type","sample.day","sample.mo","sample.yr","sample.date","organic.matter.fraction","trap.no","stream","days.deployed","total.field.wt","field.sub.wet.wt.g","field.sub.prop","pan.wt.g","om.total.dry.wt.g","om.sub.dry.pan.wt.g","om.sub.ash.pan.wt.g","sub.prop.total","sub.prop.afdm","total.afdm.g","areal.AFDM.input.g.m2","areal.AFDM.input.g.m2.d"
"95","DINP",1,11,2017,2017-11-01,"LEAF",5,"WS55",19,NA,NA,NA,1.7724,7.17,5.4425,1.9241,0.51186889818689,0.958665976403913,6.87363505081605,57.5396710241728,3.02840373811436
"97","DINP",1,11,2017,2017-11-01,"MISC",5,"WS55",19,NA,NA,NA,1.7911,0.5247,2.3157,1.8037,0.999809414903755,0.975981700343118,0.512097598170034,4.28680416011824,0.225621271585171
"99","DINP",1,11,2017,2017-11-01,"WOOD",5,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"101","DINP",1,11,2017,2017-11-01,"LEAF",6,"WS55",19,NA,NA,NA,2.0214,8.57,7.0183,2.2216,0.583068844807468,0.959935159799075,8.22664431947808,68.8658045235396,3.62451602755472
"103","DINP",1,11,2017,2017-11-01,"MISC",6,"WS55",19,NA,NA,NA,2.0424,0.0968,2.1395,2.0448,1.00309917355372,0.975283213182289,0.0944074150360456,0.790290954241408,0.0415942607495478
"105","DINP",1,11,2017,2017-11-01,"WOOD",6,"WS55",19,NA,NA,NA,2.0259,0.3634,2.39,2.0377,1.00192625206384,0.967591321065641,0.351622686075254,2.94345765113091,0.154918823743732
"107","DINP",1,11,2017,2017-11-01,"LEAF",7,"WS55",19,NA,NA,NA,1.9959,6.13,5.4438,2.1528,0.562463295269168,0.954494039850344,5.85104846428261,48.9795284870911,2.57786992037322
"109","DINP",1,11,2017,2017-11-01,"MISC",7,"WS55",19,NA,NA,NA,1.7529,0.0825,1.8353,1.754,0.998787878787879,0.986650485436892,0.0813986650485436,0.681393814782759,0.0358628323569873
"111","DINP",1,11,2017,2017-11-01,"WOOD",7,"WS55",19,NA,NA,NA,2.0276,0.3115,2.3396,2.0405,1.0016051364366,0.958653846153846,0.298620673076923,2.49977416066383,0.13156706108757
"113","DINP",1,11,2017,2017-11-01,"LEAF",8,"WS55",19,NA,NA,NA,2.0552,5.31,4.7584,2.1786,0.509077212806026,0.954350399526487,5.06760062148565,42.4212327955293,2.2326964629226
"115","DINP",1,11,2017,2017-11-01,"MISC",8,"WS55",19,NA,NA,NA,2.048,0.1344,2.1824,2.0503,0.999999999999999,0.982886904761905,0.1321,1.10581817133146,0.0582009563858663
"117","DINP",1,11,2017,2017-11-01,"WOOD",8,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"119","DINP",1,11,2017,2017-11-01,"LEAF",9,"WS55",19,NA,NA,NA,1.728,5.61,4.7423,1.8934,0.537308377896613,0.945128222141127,5.30216932621172,44.3848235306677,2.33604334371935
"121","DINP",1,11,2017,2017-11-01,"MISC",9,"WS55",19,NA,NA,NA,2.0381,0.247,2.2851,2.0423,1,0.982995951417004,0.2428,2.03249547312096,0.106973445953735
"123","DINP",1,11,2017,2017-11-01,"WOOD",9,"WS55",19,NA,NA,NA,2.0755,0.1345,2.2101,2.0801,1.00074349442379,0.965824665676078,0.129903417533432,1.0874304286641,0.0572331804560052
"125","DINP",1,11,2017,2017-11-01,"LEAF",10,"WS55",19,NA,NA,NA,2.0401,4.35,5.6735,2.2028,0.835264367816092,0.955221005119172,4.1552113722684,34.7835597363931,1.83071367033648
"127","DINP",1,11,2017,2017-11-01,"MISC",10,"WS55",19,NA,NA,NA,2.0521,1.2052,3.2574,2.0826,1.00008297378029,0.974695096656434,1.17470253049033,9.83351554977486,0.517553449988151
"129","DINP",1,11,2017,2017-11-01,"WOOD",10,"WS55",19,NA,NA,NA,2.0478,0.4393,2.4874,2.0588,1.00068290462099,0.974977252047315,0.428307506824386,3.58539155158273,0.188704818504354
"137","DINP",13,11,2017,2017-11-13,"LEAF",1,"TOWR",12,NA,NA,NA,3.6668,12.16,9.4123,3.8958,0.472491776315789,0.96014272038987,11.6753354799408,97.7350350500338,8.14458625416949
"139","DINP",13,11,2017,2017-11-13,"MISC",1,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"141","DINP",13,11,2017,2017-11-13,"WOOD",1,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"143","DINP",13,11,2017,2017-11-13,"LEAF",2,"TOWR",12,NA,NA,NA,3.6375,14.64,9.0275,3.9005,0.368169398907104,0.951205936920223,13.9256549165121,116.572613583424,9.71438446528534
"145","DINP",13,11,2017,2017-11-13,"MISC",2,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"147","DINP",13,11,2017,2017-11-13,"WOOD",2,"TOWR",12,NA,NA,NA,3.6539,0.6282,4.2821,3.7025,0.999999999999999,0.922636103151863,0.5796,4.85187140123932,0.404322616769943
"149","DINP",13,11,2017,2017-11-13,"LEAF",3,"TOWR",12,NA,NA,NA,3.6111,9.25,7.7603,3.7868,0.448562162162162,0.95765448761207,8.85830401041165,74.1534711725325,6.17945593104437
"151","DINP",13,11,2017,2017-11-13,"MISC",3,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"153","DINP",13,11,2017,2017-11-13,"WOOD",3,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"155","DINP",13,11,2017,2017-11-13,"LEAF",4,"TOWR",12,NA,NA,NA,3.6303,11.09,9.9235,3.9215,0.567466185752931,0.953727833216805,10.5768416703744,88.5394679363798,7.37828899469831
"157","DINP",13,11,2017,2017-11-13,"MISC",4,"TOWR",12,NA,NA,NA,3.6274,0.0188,3.6462,3.629,0.999999999999984,0.914893617021285,0.0172000000000002,0.143982381127186,0.0119985317605988
"159","DINP",13,11,2017,2017-11-13,"WOOD",4,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"161","DINP",13,11,2017,2017-11-13,"LEAF",5,"TOWR",12,NA,NA,NA,3.6251,5.24,7.9681,3.8161,0.82881679389313,0.9560211835137,5.00955100161179,41.9352954412871,3.49460795344059
"163","DINP",13,11,2017,2017-11-13,"MISC",5,"TOWR",12,NA,NA,NA,3.6029,0.0521,3.655,3.6053,0.999999999999996,0.953934740882914,0.0496999999999998,0.416042112908201,0.0346701760756834
"165","DINP",13,11,2017,2017-11-13,"WOOD",5,"TOWR",12,NA,NA,NA,3.6384,0.0356,3.674,3.6413,1,0.918539325842687,0.0326999999999997,0.273733945515052,0.0228111621262543
"167","DINP",13,11,2017,2017-11-13,"LEAF",6,"TOWR",12,NA,NA,NA,3.6221,8.08,8.2526,3.8004,0.573081683168317,0.961494439045459,7.76887506748731,65.0337866800256,5.41948222333547
"169","DINP",13,11,2017,2017-11-13,"MISC",6,"TOWR",12,NA,NA,NA,3.6066,0.0282,3.6348,3.6084,1,0.936170212765949,0.0263999999999998,0.220996212892886,0.0184163510744072
"171","DINP",13,11,2017,2017-11-13,"WOOD",6,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"173","DINP",13,11,2017,2017-11-13,"LEAF",7,"TOWR",12,NA,NA,NA,3.5953,7.2,7.1917,3.7436,0.4995,0.958764319875431,6.9031031031031,57.7863501134443,4.81552917612036
"175","DINP",13,11,2017,2017-11-13,"MISC",7,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"177","DINP",13,11,2017,2017-11-13,"WOOD",7,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"179","DINP",13,11,2017,2017-11-13,"LEAF",8,"TOWR",12,NA,NA,NA,3.6649,8.04,7.7651,3.8453,0.50997512437811,0.956002146236769,7.68625725574362,64.3421873045388,5.3618489420449
"181","DINP",13,11,2017,2017-11-13,"MISC",8,"TOWR",12,NA,NA,NA,3.6143,0.0756,3.6899,3.6169,1,0.965608465608469,0.0730000000000003,0.611088012923519,0.0509240010769599
"183","DINP",13,11,2017,2017-11-13,"WOOD",8,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"185","DINP",13,11,2017,2017-11-13,"LEAF",9,"TOWR",12,NA,NA,NA,3.6535,5.18,7.3136,3.7969,0.706583011583012,0.960820742602661,4.97705144668178,41.6632394352176,3.47193661960147
"187","DINP",13,11,2017,2017-11-13,"MISC",9,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"189","DINP",13,11,2017,2017-11-13,"WOOD",9,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"191","DINP",13,11,2017,2017-11-13,"LEAF",10,"TOWR",12,NA,NA,NA,3.6803,3.7,6.58,3.8102,0.783702702702703,0.955202262302997,3.53424837052109,29.585435807122,2.46545298392684
"193","DINP",13,11,2017,2017-11-13,"MISC",10,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"195","DINP",13,11,2017,2017-11-13,"WOOD",10,"TOWR",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"203","DINP",13,11,2017,2017-11-13,"LEAF",1,"WS55",12,NA,NA,NA,3.654,19.51,10.2007,3.9886,0.33555612506407,0.948890280599386,18.512849374494,154.972333394684,12.9143611162237
"205","DINP",13,11,2017,2017-11-13,"MISC",1,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"207","DINP",13,11,2017,2017-11-13,"WOOD",1,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"209","DINP",13,11,2017,2017-11-13,"LEAF",2,"WS55",12,NA,NA,NA,3.6273,18.06,9.6464,3.9252,0.33328349944629,0.950507550962769,17.1661663703876,143.699157490338,11.9749297908615
"211","DINP",13,11,2017,2017-11-13,"MISC",2,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"213","DINP",13,11,2017,2017-11-13,"WOOD",2,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"215","DINP",13,11,2017,2017-11-13,"LEAF",3,"WS55",12,NA,NA,NA,3.6547,13.71,9.1508,3.9039,0.400882567469001,0.95465875802842,13.0883715725696,109.56365721488,9.13030476790665
"217","DINP",13,11,2017,2017-11-13,"MISC",3,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"219","DINP",13,11,2017,2017-11-13,"WOOD",3,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"221","DINP",13,11,2017,2017-11-13,"LEAF",4,"WS55",12,NA,NA,NA,3.6657,18.26,10.7362,4.0055,0.387212486308872,0.951941163991231,17.3824456544799,145.509646229413,12.1258038524511
"223","DINP",13,11,2017,2017-11-13,"MISC",4,"WS55",12,NA,NA,NA,3.6497,0.0984,3.7481,3.6532,0.999999999999998,0.964430894308945,0.0949000000000002,0.794414416800573,0.0662012014000477
"225","DINP",13,11,2017,2017-11-13,"WOOD",4,"WS55",12,NA,NA,NA,3.6394,0.846,4.4854,3.6746,1,0.95839243498818,0.8108,6.78726247778613,0.565605206482177
"227","DINP",13,11,2017,2017-11-13,"LEAF",5,"WS55",12,NA,NA,NA,3.6131,29.13,13.5646,4.0962,0.341623755578441,0.95145455458976,27.7158711751997,232.011460861602,19.3342884051335
"229","DINP",13,11,2017,2017-11-13,"MISC",5,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"231","DINP",13,11,2017,2017-11-13,"WOOD",5,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"233","DINP",13,11,2017,2017-11-13,"LEAF",6,"WS55",12,NA,NA,NA,3.6511,25.34,10.4951,3.9769,0.27008681925809,0.95239625949737,24.1337212156633,202.025037563422,16.8354197969519
"235","DINP",13,11,2017,2017-11-13,"MISC",6,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"237","DINP",13,11,2017,2017-11-13,"WOOD",6,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"239","DINP",13,11,2017,2017-11-13,"LEAF",7,"WS55",12,NA,NA,NA,3.6195,9.09,8.5118,3.8684,0.538206820682068,0.949124133842978,8.62753837663267,72.2217162054499,6.01847635045415
"241","DINP",13,11,2017,2017-11-13,"MISC",7,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"243","DINP",13,11,2017,2017-11-13,"WOOD",7,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"245","DINP",13,11,2017,2017-11-13,"LEAF",8,"WS55",12,NA,NA,NA,3.6691,19.42,9.8477,3.9488,0.318156539649845,0.954730845175282,18.540873013304,155.20692119955,12.9339100999625
"247","DINP",13,11,2017,2017-11-13,"MISC",8,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"249","DINP",13,11,2017,2017-11-13,"WOOD",8,"WS55",12,NA,NA,NA,3.6574,0.865,4.5224,3.6815,1,0.972138728323699,0.8409,7.0392316447587,0.586602637063225
"251","DINP",13,11,2017,2017-11-13,"LEAF",9,"WS55",12,NA,NA,NA,3.6419,16.55,9.4008,3.919,0.347969788519638,0.951883172133567,15.7536664988105,131.875024068738,10.9895853390615
"253","DINP",13,11,2017,2017-11-13,"MISC",9,"WS55",12,NA,NA,NA,3.6138,0.1112,3.725,3.619,1,0.95323741007194,0.106,0.887333279039624,0.0739444399199687
"255","DINP",13,11,2017,2017-11-13,"WOOD",9,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"257","DINP",13,11,2017,2017-11-13,"LEAF",10,"WS55",12,NA,NA,NA,3.6453,20.92,10.1167,3.9604,0.30934034416826,0.9513088358006,19.9013808449485,166.595825684572,13.8829854737143
"259","DINP",13,11,2017,2017-11-13,"MISC",10,"WS55",12,NA,NA,NA,3.6414,2.4089,6.0503,3.7104,1,0.971356220681639,2.3399,19.5874635813663,1.63228863178052
"261","DINP",13,11,2017,2017-11-13,"WOOD",10,"WS55",12,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"269","DINP",7,12,2017,2017-12-07,"LEAF",1,"TOWR",24,NA,NA,NA,3.6241,1.84,5.347,3.6899,0.936358695652174,0.961808578559405,1.76972778454931,14.8145128119969,0.617271367166537
"271","DINP",7,12,2017,2017-12-07,"MISC",1,"TOWR",24,NA,NA,NA,1.9396,0.3873,2.3269,1.9504,1,0.972114639814098,0.3765,3.15170735432471,0.13132113976353
"273","DINP",7,12,2017,2017-12-07,"WOOD",1,"TOWR",24,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"275","DINP",7,12,2017,2017-12-07,"LEAF",2,"TOWR",24,NA,NA,NA,3.629,2.09,5.2267,3.7145,0.76444976076555,0.946485573011204,1.97815484759342,16.5592700694641,0.689969586227672
"277","DINP",7,12,2017,2017-12-07,"MISC",2,"TOWR",24,NA,NA,NA,1.7506,0.1378,1.8884,1.7536,1,0.978229317851959,0.1348,1.12842005674096,0.0470175023642066
"279","DINP",7,12,2017,2017-12-07,"WOOD",2,"TOWR",24,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"281","DINP",7,12,2017,2017-12-07,"LEAF",3,"TOWR",24,NA,NA,NA,3.6578,1.82,5.3382,3.7227,0.923296703296703,0.961378243275411,1.74970840276125,14.6469291923144,0.610288716346433
"283","DINP",7,12,2017,2017-12-07,"MISC",3,"TOWR",24,NA,NA,NA,1.7455,0.1452,1.8907,1.749,1,0.975895316804407,0.1417,1.18618043056524,0.0494241846068849
"285","DINP",7,12,2017,2017-12-07,"WOOD",3,"TOWR",24,NA,NA,NA,1.7398,2.9149,4.6547,1.8721,1,0.954612508147792,2.7826,23.2933356816572,0.970555653402384
"287","DINP",7,12,2017,2017-12-07,"LEAF",4,"TOWR",24,NA,NA,NA,3.6396,1.31,4.9233,3.7005,0.979923664122137,0.952559009114279,1.24785230193971,10.4458573097859,0.435244054574413
"289","DINP",7,12,2017,2017-12-07,"MISC",4,"TOWR",24,NA,NA,NA,2.0398,0.3074,2.3472,2.047,1,0.976577748861418,0.3002,2.51299481478958,0.104708117282899
"291","DINP",7,12,2017,2017-12-07,"WOOD",4,"TOWR",24,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"293","DINP",7,12,2017,2017-12-07,"LEAF",5,"TOWR",24,NA,NA,NA,3.6608,1.69,5.3302,3.7194,0.987810650887574,0.964897567988499,1.63067688990056,13.6505082242416,0.568771176010066
"295","DINP",7,12,2017,2017-12-07,"MISC",5,"TOWR",24,NA,NA,NA,1.7902,0.3688,2.159,1.7979,0.999999999999999,0.97912147505423,0.3611,3.02279289680386,0.125949704033494
"297","DINP",7,12,2017,2017-12-07,"WOOD",5,"TOWR",24,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"299","DINP",7,12,2017,2017-12-07,"LEAF",6,"TOWR",24,NA,NA,NA,3.6272,3.62,6.2549,3.747,0.725883977900552,0.954408798569091,3.45495985082011,28.9217061639478,1.20507109016449
"301","DINP",7,12,2017,2017-12-07,"MISC",6,"TOWR",24,NA,NA,NA,1.7502,0.1198,1.87,1.7524,1,0.981636060100167,0.1176,0.984437675613775,0.0410182364839073
"303","DINP",7,12,2017,2017-12-07,"WOOD",6,"TOWR",24,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"305","DINP",7,12,2017,2017-12-07,"LEAF",7,"TOWR",24,NA,NA,NA,3.6165,2.48,6.1556,3.7099,1.02383064516129,0.963215312512307,2.38877397503052,19.9965909825317,0.83319129093882
"307","DINP",7,12,2017,2017-12-07,"MISC",7,"TOWR",24,NA,NA,NA,2.119,0.0849,2.2039,2.1207,0.999999999999997,0.979976442873974,0.0832000000000004,0.696472913359409,0.0290197047233087
"309","DINP",7,12,2017,2017-12-07,"WOOD",7,"TOWR",24,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"311","DINP",7,12,2017,2017-12-07,"LEAF",8,"TOWR",24,NA,NA,NA,3.6605,2.42,5.8271,3.722,0.895289256198347,0.97161451121573,2.35130711714207,19.6829533422913,0.820123055928805
"313","DINP",7,12,2017,2017-12-07,"MISC",8,"TOWR",24,NA,NA,NA,1.7367,0.0294,1.7661,1.7374,1,0.976190476190471,0.0286999999999999,0.240249670834313,0.0100104029514297
"315","DINP",7,12,2017,2017-12-07,"WOOD",8,"TOWR",24,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
